797	99
24477	24977	1	0	2	1
25153	25216	1	1	0	1
25450	25499	1	0	0	1
27101	27165	2	0	2	2
27349	28369	2	1	2	2
28609	28964	2	0	0	2
29301	29354	2	0	0	2
30391	30549	2	0	2	2
31625	31701	2	0	0	2
33883	33947	2	0	2	2
34131	41594	2	1	2	2
42179	42236	2	0	0	2
42573	42626	2	0	0	2
44897	44973	2	0	0	2
45680	46783	2	0	2	2
48263	48327	2	0	2	2
48511	49531	2	1	2	2
50116	50173	2	0	0	2
50510	50563	2	0	0	2
53751	53815	2	0	2	2
53999	56498	2	1	2	2
57083	57140	2	0	0	2
61911	63538	2	1	2	2
71088	71140	2	0	2	2
71306	71369	2	0	1	2
71883	71938	2	0	1	2
72580	72641	2	0	1	2
73010	76455	2	3	0	2
87364	87464	2	2	2	2
87617	87672	2	1	1	2
87647	87716	2	1	1	2
90020	90098	1	1	0	1
90020	92945	1	1	0	1
90225	92945	1	0	0	1
90386	92945	1	0	0	1
90475	92945	1	0	0	1
90607	92945	1	0	0	1
91193	92945	1	4	0	1
92961	93028	1	0	3	1
93220	93441	1	2	1	1
93488	95692	1	0	0	1
95791	103262	1	1	1	1
103372	106336	1	1	1	1
106425	106477	1	1	1	1
106559	107641	1	2	0	1
107792	115047	1	2	1	1
113899	115047	1	0	1	1
115241	115461	1	1	0	1
115241	118446	1	1	0	1
115628	120030	1	2	1	1
118601	120030	1	2	1	1
120101	128027	1	2	1	1
137254	137310	2	0	2	2
137256	137310	2	0	2	2
139127	139179	2	0	3	2
139405	139462	2	2	1	2
139557	140512	2	0	3	2
140838	141482	2	1	0	2
142425	142477	2	1	2	2
142582	142933	2	1	1	2
144048	144409	2	0	0	2
144518	149946	2	0	3	2
150068	150179	2	1	0	2
150068	150204	2	1	0	2
150068	150294	2	1	0	2
150068	150306	2	1	1	2
150068	150352	2	1	0	2
152913	153810	1	0	0	1
153857	154212	1	0	0	1
153861	154212	1	0	0	1
154339	154419	1	2	0	1
154339	155295	1	2	0	1
154550	155449	1	0	0	1
155590	157503	1	1	0	1
156997	157315	1	1	0	1
157403	157503	1	2	0	1
157793	157847	1	0	1	1
157958	158015	1	0	0	1
158378	158431	1	2	0	1
158936	158998	1	0	0	1
159200	160446	1	2	0	1
159200	160894	1	2	0	1
162753	162824	1	0	2	1
171462	172366	1	0	1	1
172756	172819	1	2	0	1
173004	173063	1	0	0	1
173547	173608	1	0	0	1
175591	175651	2	1	0	2
175773	176389	2	0	2	2
180338	180391	2	1	2	2
180901	181473	2	0	0	2
185021	185086	2	0	2	2
185282	185339	2	1	2	2
185745	186557	2	0	2	2
186676	187784	2	0	1	2
194362	194735	2	0	1	2
194790	195409	2	0	0	2
195594	196517	2	0	0	2
198618	199402	2	1	2	2
199506	199561	2	0	1	2
199660	199716	2	3	2	2
199837	199888	2	1	2	2
205240	205294	2	1	1	2
205421	206451	2	0	3	2
206542	206602	2	1	1	2
207466	208621	2	3	2	2
208795	208854	2	1	1	2
208995	209049	2	0	3	2
209149	209202	2	0	1	2
209368	213968	2	0	0	2
209874	210622	2	0	1	2
209874	213965	2	0	0	2
209874	213990	2	0	0	2
209874	214297	2	0	0	2
210687	211933	2	1	2	2
210687	213968	2	1	0	2
210687	214169	2	1	2	2
212012	214297	2	0	0	2
222009	222065	2	0	0	2
222284	224604	2	0	2	2
225200	225264	2	1	2	2
225418	226365	2	2	0	2
230988	231062	1	0	0	1
231112	231182	1	2	0	1
231301	232263	1	0	1	1
231306	232214	1	2	0	1
232420	232478	1	0	1	1
232608	233252	1	3	0	1
233355	233415	1	0	0	1
235893	235954	2	0	0	2
236186	238030	2	0	0	2
238120	238872	2	0	1	2
239006	239070	2	0	1	2
239516	240515	2	0	4	2
240654	240768	2	0	2	2
241063	243165	2	0	1	2
243224	243278	2	0	1	2
243362	243415	2	0	1	2
243638	244181	2	0	2	2
244512	244569	2	0	1	2
245065	246386	2	0	1	2
248866	249529	1	1	0	1
250197	250535	1	2	1	1
251521	252559	1	2	0	1
252226	252559	3	4	0	1
252253	252559	1	0	0	1
252603	252903	1	2	1	1
252603	254889	1	2	0	1
253474	254889	1	0	0	1
254971	255488	1	1	0	1
254971	257019	1	1	0	1
255570	257019	1	0	0	1
257101	257893	1	0	0	1
258185	260938	1	0	1	1
261024	261269	1	0	1	1
261024	263890	1	0	0	1
261459	263085	1	2	1	1
261459	263890	1	2	0	1
263305	263794	1	2	2	1
264211	264258	1	0	1	1
