2367
0	424	0
926	1100	425
1165	1397	600
1448	1568	833
0	107	0
173	355	108
1377	1615	291
1972	2307	530
2362	3397	866
3557	4631	1902
4709	5397	2977
0	107	0
173	355	108
7820	8403	291
8462	8797	875
8852	11121	1211
11199	11904	3481
13009	13063	4187
0	107	0
173	355	108
1377	1960	291
2019	2354	875
2409	3783	1211
0	317	0
383	565	318
3066	3649	501
3708	8477	1085
10106	10969	5855
0	2754	0
2808	2972	2755
3037	3549	2920
3606	4246	3433
4309	4676	4074
8123	9333	4442
0	619	0
721	902	620
973	1118	802
0	619	0
721	872	620
929	1118	772
0	619	0
721	1118	620
0	64	0
144	269	65
2991	3264	191
3487	3532	465
5738	5835	511
13308	13416	609
16382	16469	718
16523	16603	806
17687	17836	887
25093	25285	1037
25507	25672	1230
30076	30145	1396
38073	39474	1466
0	64	0
2991	3264	65
3487	3532	339
5738	5835	385
13308	13416	483
16382	16469	592
16523	16603	680
17687	17836	761
25093	25285	911
25507	25672	1104
30076	30145	1270
38073	39474	1340
0	64	0
144	269	65
2991	3005	191
3074	3264	206
3487	3532	397
5738	5835	443
13308	13416	541
16382	16469	650
16523	16603	738
17687	17836	819
25093	25285	969
25507	25672	1162
30076	30145	1328
38073	39474	1398
0	378	0
2939	2953	379
3022	3212	394
3435	3480	585
5686	5783	631
13256	13364	729
16330	16417	838
16471	16551	926
17635	17784	1007
25041	25233	1157
28440	28593	1350
30024	32038	1504
0	378	0
2939	2953	379
3022	3212	394
3435	3480	585
5686	5783	631
13256	13364	729
16330	16417	838
16471	16551	926
17635	17784	1007
25041	25233	1157
25455	25620	1350
30024	30093	1516
38021	39422	1586
0	378	0
2939	2953	379
3022	3212	394
3435	3480	585
5686	5783	631
13256	13364	729
16330	16417	838
16471	16551	926
17635	17784	1007
25041	25233	1157
28440	28593	1350
30024	30093	1504
38021	39422	1574
0	596	0
2936	3209	597
3432	3477	871
5683	5780	917
13253	13361	1015
16327	16414	1124
16468	16548	1212
17632	17781	1293
25038	25230	1443
25452	25617	1636
30021	30090	1802
38018	39419	1872
0	121	0
2593	2866	122
3089	3134	396
5340	5437	442
12910	13018	540
15984	16071	649
16125	16205	737
17289	17438	818
24695	24887	968
25109	25274	1161
29678	29747	1327
37675	39076	1397
0	161	0
1915	2188	162
2411	2456	436
4662	4759	482
12232	12340	580
15306	15393	689
15447	15527	777
16611	16760	858
24017	24209	1008
24431	24596	1201
29000	29069	1367
36997	38398	1437
0	2059	0
3209	3401	2060
3623	3788	2253
8192	8261	2419
16189	17590	2489
0	241	0
297	2112	242
2166	2390	2058
2449	2542	2283
3499	3823	2377
4469	5410	2702
5464	5567	3644
5920	7033	3748
7396	7503	4862
12933	13053	4970
13191	13302	5091
0	239	0
297	2112	240
2166	2390	2056
2449	2542	2281
3499	3823	2375
4469	5410	2700
5464	5567	3642
5920	7033	3746
7396	7503	4860
12933	13053	4968
13293	13308	5089
0	241	0
297	2112	242
2166	2390	2058
2449	2542	2283
3499	3823	2377
4469	5410	2702
5464	5567	3644
5920	7033	3748
7396	7503	4862
12933	13323	4970
0	241	0
297	2112	242
2166	2390	2058
2449	2542	2283
3499	3823	2377
4469	5410	2702
5464	5567	3644
5920	7033	3748
7396	7503	4862
12933	13053	4970
13166	13330	5091
0	241	0
297	2112	242
2166	2390	2058
2449	2542	2283
3499	3823	2377
4469	5410	2702
5464	5567	3644
5920	7033	3748
7396	7503	4862
12933	13053	4970
13281	13353	5091
0	241	0
297	2112	242
2166	2390	2058
2449	2542	2283
3499	3823	2377
4469	5410	2702
5464	5567	3644
5920	7033	3748
7396	7503	4862
12933	13053	4970
13339	13363	5091
0	63	0
962	1007	64
1364	1489	110
1571	1700	236
2601	2740	366
4655	4943	506
4999	5108	795
5167	5528	905
5583	6086	1267
6150	6350	1771
7598	7859	1972
0	63	0
962	1007	64
1364	1489	110
2447	2740	236
4655	4943	530
4999	5108	819
5167	5528	929
5583	6086	1291
6150	6350	1795
7598	7859	1996
0	63	0
962	1007	64
1364	2740	110
4655	4943	1487
4999	5108	1776
5167	5528	1886
5583	6086	2248
6150	6350	2752
7598	7866	2953
0	63	0
962	1007	64
1364	1489	110
2447	2740	236
4655	4943	530
4999	5108	819
5167	5528	929
5583	6086	1291
6150	6350	1795
8046	9903	1996
9976	10904	3854
0	63	0
962	1011	64
1364	2740	114
4655	4943	1491
4999	5108	1780
5167	5528	1890
5583	6086	2252
6150	6350	2756
8046	9903	2957
9976	10904	4815
0	99	0
419	505	100
607	895	187
951	1060	476
1119	1480	586
1535	2038	948
2102	2302	1452
3998	5855	1653
5928	6856	3511
0	494	0
596	884	495
940	1049	784
1108	1469	894
1524	2027	1256
2091	2291	1760
3539	3800	1961
0	494	0
596	884	495
940	1049	784
1108	1469	894
1524	2027	1256
2091	2291	1760
3987	5844	1961
5917	6845	3819
0	69	0
975	1363	70
1428	1611	459
1672	2154	643
2217	2782	1126
0	256	0
318	438	257
1056	1343	378
0	494	0
549	1057	495
1631	5177	1004
5244	5438	4551
5497	5901	4746
6715	6832	5151
7942	14518	5269
14893	14946	11846
15567	15750	11900
16675	16761	12084
0	560	0
1346	1448	561
1505	1602	664
1660	1779	762
1832	1922	882
0	398	0
454	579	399
1611	1700	525
1762	2624	615
3781	3953	1478
4014	4153	1651
4209	4307	1791
4362	4526	1890
9128	9237	2055
0	398	0
454	579	399
1611	1700	525
1762	2624	615
3781	3953	1478
4014	4153	1651
4209	4307	1791
4362	5032	1890
5782	5845	2561
9128	9249	2625
0	398	0
454	579	399
1611	1700	525
1762	2624	615
3781	3953	1478
4014	4153	1651
4209	4307	1791
4362	5032	1890
9150	9253	2561
0	398	0
454	579	399
1611	1700	525
1762	2624	615
3781	3953	1478
4014	4153	1651
4209	4307	1791
4362	5032	1890
9125	9273	2561
0	398	0
454	579	399
1611	1700	525
1762	2624	615
3781	3953	1478
4014	4153	1651
4209	4307	1791
4362	5032	1890
5782	5845	2561
9329	9573	2625
0	398	0
454	579	399
1611	1700	525
1762	2624	615
3781	3953	1478
4014	4153	1651
4209	4307	1791
4362	5032	1890
5782	5845	2561
7093	7170	2625
9457	9588	2703
0	398	0
454	579	399
1611	1700	525
1762	2624	615
3781	3953	1478
4014	4153	1651
4209	4307	1791
4362	5032	1890
9457	9606	2561
0	3505	0
3563	3780	3506
6102	6696	3724
6762	6914	4319
7863	8048	4472
0	106	0
182	230	107
302	424	156
1334	1538	279
1598	1726	484
2372	2473	613
2535	2912	715
0	191	0
263	385	192
1295	1499	315
1559	1687	520
2333	2434	649
2496	2873	751
0	144	0
216	333	145
1297	1452	263
1512	1640	419
2286	2387	548
2449	2826	650
0	258	0
321	551	259
2397	2485	490
3239	3371	579
3437	3881	712
4882	5019	1157
5135	5428	1295
7532	7589	1589
7645	7727	1647
7782	8003	1730
8548	8877	1952
8936	9430	2282
10753	10945	2777
0	316	0
981	1647	317
1987	2504	984
0	165	0
1205	1247	166
1549	2118	209
3535	3615	779
4134	4214	860
5665	5745	941
6539	6829	1022
9584	9668	1313
12536	12855	1398
12904	13018	1718
14450	15144	1833
0	172	0
507	549	173
2837	2917	216
4967	5047	297
5841	6131	378
8886	8970	669
9217	9405	754
11033	11251	943
11742	12157	1162
12206	12320	1578
13752	14475	1693
0	172	0
507	549	173
851	1420	216
2837	2917	786
4967	5047	867
5841	6131	948
8886	8970	1239
9217	9405	1324
11033	11251	1513
11742	12157	1732
12206	12320	2148
13752	14475	2263
0	197	0
505	547	198
2835	2915	241
4965	5045	322
5839	6129	403
8884	8968	694
9215	9888	779
0	197	0
505	547	198
849	1418	241
2835	2915	811
4965	5045	892
5839	6129	973
8884	8968	1264
9215	9403	1349
11031	11249	1538
11740	12155	1757
12204	12318	2173
13750	14473	2288
0	197	0
505	547	198
2835	2915	241
4965	5045	322
5839	6129	403
8884	8968	694
9215	9403	779
11836	12155	968
12204	12318	1288
13750	14473	1403
0	61	0
363	932	62
2349	2429	632
4479	4559	713
5353	5643	794
8398	8482	1085
8729	8917	1170
10545	10763	1359
11254	11669	1578
