245
FBtr0299529	24052	25620	25620	1	4	0	0
FBtr0089182	26993	32390	25620	2	7	4	1
FBtr0089181	33775	46838	32390	2	7	11	2
FBtr0089180	48155	51938	46838	2	5	18	3
FBtr0089179	53433	64402	51938	2	5	23	4
FBtr0089178	68333	77666	64402	2	6	28	5
FBtr0089177	86744	87862	77666	2	3	34	6
FBtr0089176	86744	87862	87862	2	3	37	6
FBtr0089175	86744	87862	87862	2	2	40	6
FBtr0089156	89955	129429	87862	1	13	42	7
FBtr0089158	89955	129429	129429	1	12	55	7
FBtr0089157	89955	129429	129429	1	14	67	7
FBtr0100246	90007	122045	129429	1	12	81	7
FBtr0089159	90007	129429	129429	1	13	93	7
FBtr0100245	90007	129429	129429	1	13	106	7
FBtr0089160	90010	129429	129429	1	12	119	7
FBtr0089161	90353	129429	129429	1	12	131	7
FBtr0089162	91031	129429	129429	1	12	143	7
FBtr0112657	111839	129429	129429	1	5	155	7
FBtr0300498	137014	150316	129429	2	11	160	8
FBtr0089174	137014	150322	150316	2	11	171	8
FBtr0089173	137014	150337	150322	2	10	182	8
FBtr0089172	137014	150344	150337	2	11	192	8
FBtr0300497	137014	150367	150344	2	11	203	8
FBtr0089171	137014	150377	150367	2	11	214	8
FBtr0089446	152849	160708	150377	1	11	225	9
FBtr0089445	152849	160708	160708	1	10	236	9
FBtr0089447	152849	160715	160708	1	9	246	9
FBtr0089451	152849	163753	160715	1	11	255	9
FBtr0113417	152849	163753	163753	1	10	266	9
FBtr0089448	156897	163753	163753	1	9	276	9
FBtr0089450	156908	160708	163753	1	7	285	9
FBtr0089449	156908	163753	163753	1	8	292	9
FBtr0089170	171392	174174	163753	1	5	300	10
FBtr0089154	175334	176677	174174	2	3	305	11
FBtr0100021	179843	196604	176677	2	10	308	12
FBtr0089153	198057	199979	196604	2	5	318	13
FBtr0089152	204841	214078	199979	2	9	323	14
FBtr0089151	204841	214090	214078	2	10	332	14
FBtr0089150	204841	214094	214090	2	9	342	14
FBtr0089149	204841	214114	214094	2	9	351	14
FBtr0089148	204841	214414	214114	2	10	360	14
FBtr0089147	204841	214429	214414	2	11	370	14
